論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
58,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4561,Conference Paper (DSC),なし,"松山,航太|尾崎,知伸",グラフ属性の非類似度に着目したRandom Forestからの解釈可能決定集合の抽出,,解釈可能決定集合(IDS)は、解釈可能性の高い正確な予測モデルをゼロから直接構築するための代表的なフレームワークである。本稿では、IDSのコアとなる考え方を拡張し、グラフ分類に関する解釈可能なモデルを導出するための2段階のフレームワークを提案する。第一段階では、関連ルールの発見と、サブグラフパターンに対する木アンサンブルの学習を通して、ルールセットを導出する。最終的なモデルは、第2段階で、開発した最適化関数に基づいて構築される。,8,A2,グラフ属性,B2,グラフ構造の解析・分類,C1 / C5,(1) ML/DL(RF) / (5) Graph/KE,ja,2022/11/26,人工知能学会第120回知識ベースシステム研究会,,,27,32,2020,10.11517/jsaikbs.120.0_06,https://www.jstage.jst.go.jp/article/jsaikbs/120/0/120_06/_article/-char/ja/,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
59,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4196,Conference Paper (DSC),なし,"松山,航太|尾崎,知伸",グラフ構造データを対象とした解釈可能決定集合の拡張,,,8,A2,グラフ構造データ,B2,グラフデータの解釈可能分類,C5,(5) Graph/KE,ja,2022/11/26,人工知能学会 インタラクティブ情報アクセスと可視化マイニング研究会（SIG-AM）,24,,25,29,2020,,https://must.c.u-tokyo.ac.jp/sigam/sigam24/sigam2405.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
60,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4731,Conference Paper (DSC),なし,"橋本,琉|尾崎,知伸",帰納論理プログラミングを用いた不動産間取り図からの選好抽出,,,8,A1,間取り図→グラフ,B4,ユーザー選好抽出,C5,(5) Graph/KE (帰納論理P),ja,2022/11/26,人工知能学会 インタラクティブ情報アクセスと可視化マイニング研究会（SIG-AM）,,,,,2022,,https://must.c.u-tokyo.ac.jp/sigam/sigam28/sigam2802.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
61,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5011,Conference Paper (DSC)_03,なし,"橋本,琉|尾崎,知伸",解集合プログラミングを用いた不動産間取り図からの分類規則の抽出,,本論文では、不動産の間取り図データベースから、解釈可能で特徴的なルールを抽出することを試みる。具体的には、各間取り図に含まれる部屋同士のつながりや、部屋の大きさ・形状などの属性を集合プログラミングで表現し、帰納的ルール学習器ILASPを適用することで、3つの異なる視点から賃貸物件の上位・下位を区別する分類ルールを発見する。得られた分類ルールの妥当性と有用性を、ランキングの目的を考慮するとともに、嗜好を表すルールとの比較により検証する。,8,A1,間取り図→グラフ,B2,間取り図の分類規則抽出,C5,(5) Graph/KE (ASP),ja,2023/12/3,人工知能学会 知識ベースシステム研究会（SIG-KBS）,126,,28,33,2022,10.11517/jsaikbs.126.0_28,https://www.jstage.jst.go.jp/article/jsaikbs/126/0/126_28/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
62,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1520,Conference Paper (DSC),なし,"上堀,健太|尾崎,知伸",間取り図グラフ作成における誤認識・不認識の分析,,"間取り図は，部屋の配置のみならず，洗面台やトイレ等を表す種々の記号やLDK, WICなどの略語等，多様な情報を含んでいる．一般に画像として提供される間取り図を，部屋を頂点，そのつながりを辺とするラベル付きグラフへ変換することにより，計算機での扱いが容易になると同時に，構造的な側面からの特徴抽出や検索などへの応用が展開可能となる．本論文では，間取り図画像をラベル付きグラフへと変換するタスクにおいて，誤認識・不認識の観点から被験者が起こすエラーについて分析を行う．これにより，間取り図を見る際に起こしやすい間違いの特定や，クラウドソーシングの結果に対する信頼性に関する知見が得られることが期待できる．",8,A1,間取り図,B2,間取り図のグラフ化精度検討,C3 / C6,(3) CV? / (6) 人間認知分析,ja,2022/11/26,情報処理学会 全国大会講演論文集,2017,1,493,494,2017,,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=180738,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
63,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4065,Conference Paper (DSC),なし,"長谷川,優也|尾崎,知伸",部屋配置とその出現数に着目した二段階賃料推定,,,8,A1 / A2,間取り/部屋配置・賃料属性,B1,賃料推定,C2 / C5,(2) Stat + (5) Graph/KE,ja,2022/11/26,人工知能学会 インタラクティブ情報アクセスと可視化マイニング研究会（SIG-AM）,21,,80,87,2019,10.3-2 / 313-2 / 30/sigam21.21.80,https://must.c.u-tokyo.ac.jp/sigam/sigam21/sigam2114.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
64,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4197,Conference Paper (DSC),なし,"尾崎,知伸",賃料予測残差に着目した特徴的部屋配置の抽出,,"The rent for rental property is determined by various factors such as area and age. In
this paper, to extract interesting patterns strongly related with rent, we associate a class label to
rental property based on estimated residual, and extract contrasting subgraph patterns considering
the number of occurrences. Furthermore, we try to extract decision rules consisting of subgraph
patterns by using a method in interpretability research of machine learning. The eﬀectiveness of
the proposed frameworks is evaluated in preliminary experiments using real world datasets.",8,A1 / A2,間取り・賃料属性,B1,賃料予測と部屋配置,C2 / C5,(2) Stat + (5) Graph/KE,ja,2022/11/26,人工知能学会 知識ベースシステム研究会（SIG-KBS）,117,,19,24,2019,10.3-2 / 313-2 / 30/40021988260.117.19,https://ci.nii.ac.jp/naid/40021988260/,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
65,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4199,Presentation (DSC),なし,"尾崎,知伸",賃料に影響のある間取りの推定について～グラフマイニングによるアプローチ～,,本研究では、賃貸物件の賃料に影響を与える間取りの特徴を推定するため、間取り図をグラフ構造として表現し、グラフマイニング手法を適用しました。具体的には、LIFULL HOME'Sデータセットから収集した間取り図をノード（部屋や設備）とエッジ（接続関係）で構成されるグラフに変換し、頻出部分グラフパターンを抽出しました。さらに、床面積や築年数、駅からの距離などの基本属性を説明変数とし、賃料を目的変数とする回帰モデルを構築しました。回帰モデルの残差に着目し、賃料に対して正または負の影響を持つ間取りパターンを特定しました。このアプローチにより、賃料に影響を及ぼす特定の部屋配置や構造上の特徴を明らかにし、物件の適正価格設定や新たな設計指針の策定に寄与することが期待されます。,8,A1 / A2,間取り・賃料属性,B1,賃料要因分析,C2 / C5,(2) Stat + (5) Graph/KE,ja,2022/11/26,NII-IDRユーザフォーラム2019,,,,,2019,10.3-2 / 313-2 / 30/idr..,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2019_P16.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
66,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3748,Conference Paper (DSC),なし,"尾崎,知伸|小黒,淳斗",頻出部分グラフを用いた賃料分析,,"In this paper, we apply frequent subgraph mining and regression analysis to investigate
the relationship between the room layout and the rent of apartments. We build a graph database
having about 550 of floor plans, and extract characteristic substructures appearing frequently in
the database. We prepare four types of target variables on the rent and apply diﬀerent types
of regression analyses, i.e., regression tree, model tree, support vector regression and multiple
regression analysis, using extracted substructures as independent variables. Through the analysis,
we reveal room layouts related to the rent.",8,A1 / A2,間取り・賃料属性,B1,賃料分析,C2 / C5,(2) Stat + (5) Graph/KE,ja,2022/11/26,人工知能学会 知識ベースシステム研究会（SIG-KBS）,111,,13,16,2017,10.3-2 / 313-2 / 30/40021220304.111.13,https://ci.nii.ac.jp/naid/40021220304,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
67,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1521,Presentation (DSC),なし,"尾崎,知伸|小黒,淳斗|上堀,健太|嶋野,友樹",間取り図グラフの利活用に向けて,,本研究では、間取り図をグラフ構造として表現し、その利活用を検討しました。具体的には、間取り図画像をノード（部屋や設備）とエッジ（接続関係）で構成されるグラフに変換するツールを開発し、グラフ化の過程で生じる誤認識や不認識の傾向を分析しました。また、グラフ化した間取り図を用いて、賃料予測モデルを構築し、物件の詳細情報と間取り構造の関係性を明らかにしました。これらの取り組みにより、間取り図のデータ化支援や、物件検索システムの高度化に寄与することが期待されます。,8,A1,間取り図→グラフ,B2,間取り図グラフ化の利活用,C5,(5) Graph/KE,ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,10.11517/idr.userforum.www.nii.ac.jp_IDR,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2016_P08.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
68,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4637,Presentation (DSC),なし,"菱沼,大輝|尾崎,知伸",傾向スコア分析と説明可能 AI を用いた賃料に対する部屋構造の因果効果推定,,"本研究では、賃貸物件の賃料に対する部屋構造の因果効果を推定するため、傾向スコア分析と説明可能AI技術を組み合わせた手法を提案します。LIFULL HOME'Sデータセットから1Kおよび1Rタイプの賃貸マンション1,783件を対象に、間取り図をグラフ構造として表現し、ノード（部屋、クローゼットなど）とエッジ（ノード間の接続）を定義しました。グラフニューラルネットワーク（GNN）を用いて賃料を5段階に分類し、GNNExplainerを活用して分類に寄与する部分グラフやノード特徴量を特定しました。さらに、傾向スコアマッチングにより、部屋配置の賃料への因果効果を評価しました。その結果、「wbed（洋室）– kitchen – unit_bus（ユニットバス）」や「closet – wbed」などの部屋配置が賃料に大きな影響を及ぼすことが示されました。本手法は、物件設計や適切な価格設定における意思決定支援に寄与することが期待されます。",8,A1 / A2,部屋構造: 間取り図・賃料,B1,賃料と部屋構造の因果効果,C1 / C2,(2) Stat(傾向スコア) + (1) ML/DL(Explainable AI),ja,2022/11/26,NII-IDRユーザフォーラム2021,,,,,2021,10.3-1 / 313-1 / 30/idr..,https://www.nii.ac.jp/dsc/idr/userforum/startup/IDR-UF2021_S07.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
69,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4730,Conference Paper (DSC),なし,"菱沼,大輝|尾崎,知伸",傾向スコア分析と説明可能AI技術を用いた賃料決定に関する重要部屋配置の特定,,賃貸物件の賃料は様々な要因により決定される．本論文では，様々な要因の中でも部屋配置に着目し，賃料決定に重要視される構造の特定を試みる．そのアプローチとして(1) 類似物件の特定と因果効果推定を行うことで効果的な構造特定が期待できる傾向スコア分析，および(2) 賃料推定を行う機械学習モデルを対象に予測結果への寄与度が高い構造を抽出する説明可能AI 技術を利用する．,8,A1 / A2,間取り・賃料,B1,賃料決定要因の分析,C1 / C2,(2) Stat(傾向スコア) + (1) ML/DL(Explainable AI),ja,2022/11/26,情報処理学会第206回知能システム研究会,,,,,2022,10.3-1 / 313-1 / 30/?action=repository_uri&item_id=216894&file..,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=216894&file_id=1&file_no=1,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
70,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1519,Conference Paper (DSC),あり（会議）,"Kamihori,Kenta|Shimano,Tomoki|Oguro,Atsuto|Ozaki,Tomonobu",Towards discovery of human's recognition mechanisms for complex structured images,,"複雑な構造を持つ画像を人間がどのように認識するのかは、認知科学や人工知能の分野における重要な課題の一つである。本研究では、この問題に取り組むため、建築の間取り図認識を対象とした予備的なケーススタディを行い、人間の視覚情報処理に関する洞察を得ることを目的とする。実験では、被験者に対し、与えられた間取り図画像から部屋を特定し、それぞれの接続関係を明示するよう求めた。さらに、部屋の種類（リビング、キッチン、浴室など）や、接続方法（ドア、空間、壁など）を分類する作業も行った。このプロセスを通じて、間取り図をラベル付きグラフへと変換し、ノードを部屋、エッジを接続として構築する形でデータを収集した。本研究では、被験者が間取り図を認識する過程を記録するため、専用のGUIツールを開発し、マウス操作によるグラフ構築の手順を記録した。さらに、ウェアラブルスマートグラスを用いて、被験者の頭部や眼球の動きなどの身体的データも収集した。3名の被験者が642枚の実際の間取り図を解析し、合計1,284個のグラフを作成した。データ分析では、被験者が認識した誤りを「認識された誤り」と「認識されなかった誤り」の2種類に分類し、予備的な分析を行った。その結果、被験者が作成したグラフの57.7%〜73.8%に少なくとも1つの誤りが含まれていることが明らかとなった。代表的な誤認識として、「キッチン → レシート」「ドア → 壁」などの誤分類が頻繁に発生した。また、誤認識の位置情報をプロットしたが、特定のエリアに偏る傾向は見られず、空間的な配置と誤認識の関係はないことが示唆された。さらに、タスクの所要時間やまばたきの回数と誤認識の発生率に有意な相関は見られず、疲労の影響も限定的であることが確認された。本研究は、複雑な画像認識における人間の認知バイアスを明らかにするための初歩的な取り組みであり、今後は「認識されなかった誤り」の詳細な分析を行い、より深い認知メカニズムの解明を目指す。また、この知見は、人工知能を活用した画像理解技術の向上や、人間中心のデザイン手法の発展に貢献する可能性がある",8,A1,"間取り図, 被験者実験",B2,間取り図認識の分析,C6,(6) 実験/人間認知,en,2022/11/26,Proceedings of the Third International Workshop on Skill Science,,,26,27,2016,skl2016/T04,http://www.sigskl.org/activity/papers/skl2016/T04_Kamihori_Ozaki.pdf,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
71,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4198,Conference Paper (DSC),あり（会議）,"Ozaki,Tomonobu",Extraction of Characteristic Subgraph Patterns with Support Threshold from Databases of Floor Plans,,,8,A1,間取り図→サブグラフ,B2,間取り図データベースのサブグラフ抽出,C5,(5) Graph/KE(サブグラフ抽出),en,2022/11/26,The 2019 Seventh International Symposium on Computing and Networking (CANDAR 2019),,,197,203,2019,10.1109/CANDAR.2019.00033,https://www.computer.org/csdl/proceedings-article/candar/2019/472500a197/1gFJjBNOpXO,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
72,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5012,Conference Paper (DSC)_03,あり（会議）,"Hashimoto,Ryu|Ozaki,Tomonobu",Extraction of Preference and Classification Rules in Floor Plan Databases using Answer Set Programming,,"The preference criteria for real estate rental prop-erties strongly depend on the form of use and purposes. If it is possible to acquire the preference criteria on each purpose of use in a human-understandable form, they can be useful information for each of user, lenders and developers of rental properties. In this research, using the framework of preference and classification learning on answer set programming (ASP), we attempt to acquire preference criteria from floor plans of rental properties. Specifically, from a ranking of rental properties on intended purpose, inductive preference learning of ASP is applied to extract weak constraints corresponding to ranking functions, and classification learning is performed to obtain rules representing distinguish features between high and low ranked properties. The usefulness of our ASP-based analysis is evaluated by examining the results of the learnings for three real rankings of nine rental properties.",8,A1,間取り図→ルール抽出,B4,ユーザーの嗜好・分類ルールの抽出,C5,(5) Graph/KE(ASP),en,2023/12/3,The 2022 Tenth International Symposium on Computing and Networking Workshops (CANDARW),,,97,102,2022,10.1109/CANDARW57323.2022.00032,https://ieeexplore.ieee.org/document/10062853,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
73,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4560,Conference Paper (DSC),あり（会議）,"Matsuyama,Kota|Ozaki,Tomonobu",Extraction of Interpretable Decision Sets in Graph Databases,,"In recent years, research on knowledge discovery in graph structured databases has regained attention, and many studies have been conducted. While recently developed kernel-based methods and graph neural networks show high performance in accuracy for the classification tasks, they have a problem with interpretability since the obtained model is usually a black box that is difficult for humans to understand. In this paper, in order to build accurate predictive models with high interpretability, we propose an extension of Interpretable Decision Sets (IDS), one of representative frameworks in the field of interpretable machine learning, for graph databases. IDS employs two stage framework. After the enumeration of association rules in the first stage, IDS selects an optimal set of rules under a function on interpretability and accuracy in the second stage. In this paper, as an extension of the first stage, we give a method for deriving a set of classification rules on subgraph patterns. In addition, we develop new optimization functions for selecting a small number of simple and accurate rules which have dissimilar subgraph patterns to each other. The effectiveness of the proposed framework is confirmed through the experiments using two real datasets.",8,A2,グラフDB,B2,グラフデータ上の解釈可能モデル,C5,(5) Graph/KE(IDS),en,2022/11/26,The 2020 Eighth International Symposium on Computing and Networking (CANDAR),,,,,2020,10.1109/CANDAR51075.2020.00028,https://ieeexplore.ieee.org/document/9394366,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
74,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1514,Presentation (DSC),なし,"井上,誠|高橋,瑞稀|裴,岩|高木,英行",賃貸物件の多数属性に対するユーザの受容程度の関数を導入した住まい探し,,本研究では、賃貸物件の多様な属性に対するユーザーの受容度を関数として定義し、物件の評価・ランキングを行う手法を提案します。従来の効用関数が各属性に対するユーザーの受け入れ度合いを単調増加または単調減少の指数関数型で表現していたのに対し、本手法では、各属性の値に対する受容度曲線を描き、ファジィ制御におけるメンバシップ関数のように表現します。これにより、各属性の受容度を加法や乗法などの演算で統合し、統合受容度として物件を評価します。実験では、HOME'Sデータセットから取得した物件情報を用いて、提案手法の有効性を検証しました。その結果、属性数が増加しても同ランクの物件数が指数的に増加することなくランキングが可能であり、パレート・ランクと比較して計算が容易かつ短時間であることが示されました。これらの結果は、賃貸物件の検索や推薦システムにおいて、ユーザーの多様なニーズに応じた効率的な物件提案を可能にすることを示唆しています。,9,A2,多属性：賃料・面積など,B4,受容度ベースの検索・ユーザー意向,C4,(4) RS(多目的意思決定),ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,10.3130/idr..,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2016_P09.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
75,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1515,Conference Paper (DSC),なし,"井上,誠|高橋,瑞稀|裴,岩|高木,英行",受容度に基づく多数目的探索のお部屋探し,,本研究は、多目的最適化における受容度概念を用いた賃貸住宅選択手法を提案する。従来のパレート最適化では、多数の選択肢が同ランクに分類される問題がある。そこで、ユーザの希望条件を受容度関数として定義し、賃料・築年数・間取りなど複数の要素を統合的に評価する。HOME'Sデータセットを用いた実験では、受容度によるランキングが有効であり、迅速な物件選択が可能であることを確認。今後は他の最適化問題への応用や、意思決定プロセスのさらなる改善を目指す。,9,A2,属性データ,B4,多目的最適化による物件検索,C4,(4) RS(多目的探索),ja,2022/11/26,進化計算学会研究会資料集,11,,183,189,2016,,https://hdl.handle.net/2324/1831120,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
76,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3747,Conference Paper (DSC),なし,"井上,誠|高木,英行",賃貸住宅多数目的探索のための受容度,,,9,A2,属性データ,B4,多目的最適化による物件検索,C4,(4) RS(多目的探索),ja,2022/11/26,日本建築学会大会（中国） 学術講演梗概集・情報システム技術,2017,,105,106,2017,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
77,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3661,Presentation (DSC),なし,"長根,乃愛|北垣,亮馬|石田,崇人",マンションの修繕積立金と資産価値の関係性の空間分布構造に関する基礎的研究,,本研究では、老朽化が進むマンションの増加を背景に、マンション所有者の収入と適切な修繕積立金の逼迫度を推定し、その空間分布構造を可視化することを目的としました。具体的には、東京都多摩ニュータウン地域を対象に、LIFULL HOME'Sのデータセットから賃貸および売買物件の情報を収集し、世帯収入や年間キャッシュフロー（CF）を推定しました。修繕積立金の逼迫度は、年間修繕積立金を年間世帯収入や年間CFで除算することで算出しました。分析の結果、賃貸物件と売買物件で修繕積立金逼迫度の空間分布構造が異なることが明らかになりました。特に、賃貸物件では住宅面積が大きいほど、修繕積立金の負担が相対的に大きくなる傾向が見られました。これらの知見は、今後予想される大規模修繕の需要増加に対する地域別の対策や、マンションの持続可能な管理に向けた基礎資料として活用できると考えられます。,27,A2 / A3,修繕積立金・資産価値・空間分布,B3,修繕積立金・資産価値と都市計画,C2,(2) Stat/Spatial(空間分布),ja,2022/11/26,NII-IDRユーザフォーラム2017,,,,,2017,10.3130/idr..,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2017_P12.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
78,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1518,Presentation (DSC),なし,"米沢,祐人|北垣,亮馬",ヘドニック・アプローチに基づく賃貸・分譲住宅における選好因子の比較,,,28,A2,賃料・分譲価格属性,B1,価格・賃料要因の比較分析,C2,(2) Stat(ヘドニック),ja,2022/11/26,NII-IDRユーザフォーラム2016,,,,,2016,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
79,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4073,Conference Paper (DSC),なし,"北垣,亮馬|石田,崇人|長根,乃愛|片桐,由希子",マンションの修繕積立金の資金繰り逼迫性の空間分布構造に関する基礎的研究,,,27,A2 / A3,修繕積立金・空間分布,B3,建築物管理と都市計画,C2,(2) Stat/Spatial(空間分析),ja,2022/11/26,日本建築学会大会（東北） 学術講演梗概集・情報システム技術,2018,,121,125,2018,10.3130/detail.html.2018.121,https://www.aij.or.jp/paper/detail.html?productId=623147,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
80,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4748,Conference Paper (DSC),あり（会議）,"Fu,Hao|Makino,Mitsunori",A VR-based Indoor Visualization System from Floorplan Images with Deep Learning,,"In this paper, we propose a system to represent a 3D virtual house based on the given floorplan images, through which a user can understand intuitively and efficiently interior furnishing condition. The proposed system adopts a learning-based approach in the use of a convolutional neural network with customized dataset, which allows us to acquire high-accuracy semantic information of diverse components of the house, e.g., walls, toilet and area of balcony, from input floorplan image. Then, constructing an interactive virtual environment with Head-Mounted-Display (HMD), the system enables the user to adjust arbitrarily the position of furniture with various sizes, and prompts whether the selected furniture can be placed in a specific position through an intuitive way of expression.",29,A1,間取り図,B2,VR化・空間生成,C3 / C6,(3) CV + (6) VR,en,2022/11/26,International Workshop on Advanced Image Technology 2022,,,,,2022,10.1117/12.2625978,https://doi.org/10.1117/12.2625978,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
81,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5029,Conference Paper (DSC)_03,あり（会議）,"He,Feixiang|Huang,Yanlong|Wang,He",iPLAN: Interactive and Procedural Layout Planning,,"Layout design is ubiquitous in many applications, e.g. architecture/urban planning, etc, which involves a lengthy iterative design process. Recently, deep learning has been leveraged to automatically generate layouts via image generation, showing a huge potential to free designers from laborious routines. While automatic generation can greatly boost productivity, designer input is undoubtedly crucial. An ideal AI-aided design tool should automate repetitive routines, and meanwhile accept human guidance and provide smart/proactive suggestions. However, the capability of involving humans into the loop has been largely ignored in existing methods which are mostly end-to-end approaches. To this end, we propose a new human-in-the-loop generative model, iPLAN, which is capable of automatically generating layouts, but also interacting with designers throughout the whole procedure, enabling humans and AI to co-evolve a sketchy idea gradually into the final design. iPLAN is evaluated on diverse datasets and compared with existing methods. The results show that iPLAN has high f idelity in producing similar layouts to those from human designers, great flexibility in accepting designer inputs and providing design suggestions accordingly, and strong generalizability when facing unseen design tasks and limited training data.",30,A1,レイアウト生成,B2,レイアウト自動生成,C1 / C3,(1) ML/DL? (レイアウト生成) + (3) CV  (生成モデル、画像生成的アプローチ),en,2023/12/3,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) 2022,,,7783,7792,2022,10.1109/CVPR52688.2022.00764,https://www.computer.org/csdl/proceedings-article/cvpr/2022/694600h783/1H0N7lmNc1q,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
82,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5027,Presentation (DSC)_02,なし,"Isawa,Kaori|Watanabe,Hiroko|Honma,Yudai",Cost-benefit Analysis of Degree of Renovation and Construction Costs in Architecture Conservation for Conversion to Profit-making Facilities,,,10,A2,改修コスト・属性,B3,建築物保存・改修コスト分析,C2,(2) Stat(費用便益),en,2023/12/3,INFORMS Annual Meeting 2022,,,,,2022,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
83,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5033,Conference Paper (DSC)_03,あり（会議）,"Iwata,Naoto|Kamei,Sayaka|Alam,Kazi Md. Rokibul|Morimoto,Yasuhiko",Location Data Anonymization Retaining Data Mining Utilization,,,31,A3,位置情報データ,B3,位置データ匿名化・都市応用(広義の都市データ活用として),C6,(6) IoT/CS/Other(プライバシ保護),en,2023/12/3,Proceedings of International Conference on Advanced Data Mining and Applications (ADMA 2022) / Lecture Notes in Computer Science (LNAI 13726),,,407,418,2022,10.1007/978-3-031-22137-8_30,https://link.springer.com/chapter/10.1007/978-3-031-22137-8_30,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
84,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4741,Journal Article (DSC),あり（論文誌）,"Katsumata,Yuki|Kanechika,Akinori|Taniguchi,Akira|Hafi,Lotfi El|Hagiwara,Yoshinobu|Taniguchi,Tadahiro",Map completion from partial observation using the global structure of multiple environmental maps,,"Using the spatial structure of various indoor environments as prior knowledge, the robot would construct the map more efficiently. Autonomous mobile robots generally apply simultaneous localization and mapping (SLAM) methods to understand the reachable area in newly visited environments. However, conventional mapping approaches are limited by only considering sensor observation and control signals to estimate the current environment map. This paper proposes a novel SLAM method, map completion network-based SLAM (MCN-SLAM), based on a probabilistic generative model incorporating deep neural networks for map completion. These map completion networks are primarily trained in the framework of generative adversarial networks (GANs) to extract the global structure of large amounts of existing map data. We show in experiments that the proposed method can estimate the environment map 1.3 times better than the previous SLAM methods in the situation of partial observation.",32,A1 / A3,環境マップ画像 + 空間情報,B3,地図再構築・空間情報のロボット応用,C1 / C3,(1) ML/DL(GAN) / (3) CV(SLAM),en,2022/11/26,Advanced Robotics,,,279,290,2022,10.1080/01691864.2022.2029762,https://www.tandfonline.com/doi/full/10.1080/01691864.2022.2029762,LIFULL HOME'S高精細度間取り図画像データ,TRUE,,
